Date,Open,High,Low,Close
02/06/2023,"1.0829","1.0829","1.0710","1.0726"
02/03/2023,"1.0910","1.0942","1.0793","1.0799"
02/02/2023,"1.0990","1.1036","1.0889","1.0911"
02/01/2023,"1.0865","1.1002","1.0853","1.0991"
01/31/2023,"1.0848","1.0877","1.0803","1.0866"
01/30/2023,"1.0874","1.0916","1.0840","1.0852"
01/27/2023,"1.0893","1.0902","1.0839","1.0869"
01/26/2023,"1.0917","1.0931","1.0852","1.0892"
01/25/2023,"1.0889","1.0925","1.0858","1.0915"
01/24/2023,"1.0872","1.0899","1.0837","1.0888"
01/23/2023,"1.0878","1.0928","1.0847","1.0874"
01/20/2023,"1.0831","1.0861","1.0803","1.0857"
01/19/2023,"1.0795","1.0842","1.0783","1.0833"
01/18/2023,"1.0790","1.0888","1.0768","1.0797"
01/17/2023,"1.0823","1.0871","1.0775","1.0789"
01/16/2023,"1.0849","1.0877","1.0802","1.0821"
01/13/2023,"1.0853","1.0870","1.0782","1.0833"
01/12/2023,"1.0758","1.0867","1.0733","1.0854"
01/11/2023,"1.0734","1.0778","1.0726","1.0757"
01/10/2023,"1.0730","1.0760","1.0712","1.0735"
01/09/2023,"1.0646","1.0763","1.0637","1.0735"
01/06/2023,"1.0521","1.0650","1.0484","1.0644"
01/05/2023,"1.0604","1.0634","1.0516","1.0523"
01/04/2023,"1.0548","1.0636","1.0541","1.0606"
01/03/2023,"1.0653","1.0685","1.0520","1.0550"
01/02/2023,"1.0727","1.0729","1.0651","1.0668"
12/30/2022,"1.0662","1.0716","1.0639","1.0703"
12/29/2022,"1.0614","1.0693","1.0610","1.0664"
12/28/2022,"1.0639","1.0676","1.0607","1.0613"
12/27/2022,"1.0638","1.0672","1.0612","1.0642"
12/26/2022,"1.0670","1.0670","1.0606","1.0637"
12/23/2022,"1.0599","1.0634","1.0587","1.0617"
12/22/2022,"1.0606","1.0662","1.0574","1.0598"
12/21/2022,"1.0623","1.0648","1.0591","1.0607"
12/20/2022,"1.0610","1.0660","1.0580","1.0625"
12/19/2022,"1.0600","1.0660","1.0576","1.0609"
12/16/2022,"1.0627","1.0664","1.0344","1.0587"
12/15/2022,"1.0683","1.0732","1.0593","1.0629"
12/14/2022,"1.0633","1.0696","1.0620","1.0682"
12/13/2022,"1.0540","1.0675","1.0529","1.0634"
12/12/2022,"1.0547","1.0582","1.0507","1.0539"
12/09/2022,"1.0556","1.0590","1.0515","1.0534"
12/08/2022,"1.0510","1.0565","1.0490","1.0555"
12/07/2022,"1.0468","1.0551","1.0444","1.0507"
12/06/2022,"1.0490","1.0535","1.0460","1.0466"
12/05/2022,"1.0538","1.0596","1.0481","1.0493"
12/02/2022,"1.0525","1.0547","1.0429","1.0543"
12/01/2022,"1.0408","1.0535","1.0395","1.0527"
11/30/2022,"1.0330","1.0430","1.0292","1.0410"
11/29/2022,"1.0341","1.0396","1.0321","1.0331"
11/28/2022,"1.0415","1.0498","1.0331","1.0340"
11/25/2022,"1.0411","1.0431","1.0355","1.0400"
11/24/2022,"1.0397","1.0450","1.0383","1.0413"
11/23/2022,"1.0305","1.0406","1.0298","1.0395"
11/22/2022,"1.0242","1.0309","1.0240","1.0306"
11/21/2022,"1.0346","1.0346","1.0224","1.0243"
11/18/2022,"1.0365","1.0397","1.0314","1.0326"
11/17/2022,"1.0395","1.0407","1.0306","1.0366"
11/16/2022,"1.0349","1.0440","1.0332","1.0396"
11/15/2022,"1.0328","1.0481","1.0282","1.0350"
11/14/2022,"1.0373","1.0373","1.0272","1.0329"
11/11/2022,"1.0210","1.0366","1.0165","1.0354"
11/10/2022,"1.0012","1.0222","0.9936","1.0209"
11/09/2022,"1.0074","1.0089","0.9994","1.0014"
11/08/2022,"1.0023","1.0098","0.9974","1.0075"
